name,slug,description,price,Ml/gm,compareAtPrice,sku,stockQuantity,categoryId,brandId,vendorId,ingredients,benefits,howToUse,isFeatured,isBestSeller,isNew,tags,imageUrls
Mamaearth Charcoal Face Wash,mamaearth-charcoal-face-wash,Mamaearth Charcoal Face Wash is a premium face wash designed to improve skin health and provide visible results.,430,100ml,500,mamaearth-charcoal-face-wash,100,https://glovia.com.np/products?category=skincare&search=Skincare,mamaearth,MM cosmetics,Refer to product label,"Removes dirt, controls oil, refreshes skin","Apply on wet face, rinse",FALSE,FALSE,TRUE,skincare,
Mamaearth Oil-Free Face Wash,mamaearth-oil-free-face-wash,Mamaearth Oil-Free Face Wash is a premium face wash designed to improve skin health and provide visible results.,430,100ml,500,mamaearth-oil-free-face-wash,100,https://glovia.com.np/products?category=skincare&search=Skincare,mamaearth,MM cosmetics,Refer to product label,"Removes dirt, controls oil, refreshes skin","Apply on wet face, rinse",FALSE,FALSE,TRUE,skincare,
Mamaearth Beetroot Hydrafull Face Wash,mamaearth-beetroot-hydrafull-face-wash,Mamaearth Beetroot Hydrafull Face Wash is a premium face wash designed to improve skin health and provide visible results.,430,100ml,500,mamaearth-beetroot-hydrafull-face-wash,100,https://glovia.com.np/products?category=skincare&search=Skincare,mamaearth,MM cosmetics,Refer to product label,"Removes dirt, controls oil, refreshes skin","Apply on wet face, rinse",FALSE,FALSE,TRUE,skincare,
Mamaearth Ubtan Face Wash,mamaearth-ubtan-face-wash,Mamaearth Ubtan Face Wash is a premium face wash designed to improve skin health and provide visible results.,480,100ml,500,mamaearth-ubtan-face-wash,100,https://glovia.com.np/products?category=skincare&search=Skincare,mamaearth,MM cosmetics,Refer to product label,"Removes dirt, controls oil, refreshes skin","Apply on wet face, rinse",FALSE,FALSE,TRUE,skincare,
Mamaearth Vitamin C Face Wash,mamaearth-vitamin-c-face-wash,Mamaearth Vitamin C Face Wash is a premium face wash designed to improve skin health and provide visible results.,430,100ml,500,mamaearth-vitamin-c-face-wash,100,https://glovia.com.np/products?category=skincare&search=Skincare,mamaearth,MM cosmetics,Refer to product label,"Removes dirt, controls oil, refreshes skin","Apply on wet face, rinse",FALSE,FALSE,TRUE,skincare,
